Test Case,Fault,Command
t535,[2],-P[-vnh 'include' ../inputs/grep1.dat]
t537,[2],-P[-vn 'include' ../inputs/grep1.dat]
t557,[9],-P[-vibh TGGGG ../inputs/grepBinary]
t558,[2],-P[-vibh include ../inputs/grep1.dat]
t560,[9],-P[-vib TGGGG ../inputs/grepBinary]
t561,[2],-P[-vib include ../inputs/grep1.dat]
t563,[9],-P[-vih TGGGG ../inputs/grepBinary]
t564,[2],-P[-vih include ../inputs/grep1.dat]
t566,[9],-P[-vi TGGGG ../inputs/grepBinary]
t567,[2],-P[-vi include ../inputs/grep1.dat]
t571,[9],-P[-vbh Tgggg ../inputs/grepBinary]
t572,[2],-P[-vbh include ../inputs/grep1.dat]
t574,[9],-P[-vb Tgggg ../inputs/grepBinary]
t575,[2],-P[-vb include ../inputs/grep1.dat]
t577,[9],-P[-vh Tgggg ../inputs/grepBinary]
t578,[2],-P[-vh include ../inputs/grep1.dat]
t580,[9],-P[-v Tgggg ../inputs/grepBinary]
t581,[2],-P[-v include ../inputs/grep1.dat]
t621,[8],-P [-f 12345 ../inputs/grep1.dat]
t623,[8],-P [-Y 12345 ../inputs/grep1.dat]
t624,[8],-P [-A -12345 ../inputs/grep1.dat]
t625,[8],-P [-B -12345 ../inputs/grep1.dat]
t626,[8],-P [-F -E 12345 ../inputs/grep1.dat]
t627,[8],-P [-E -F 12345 ../inputs/grep1.dat]
t628,[8],-P [-E -G 12345 ../inputs/grep1.dat]
t629,[8],-P [-G -X 12345 ../inputs/grep1.dat]
t630,[8],-P [-f nosuchfile ../inputs/grep1.dat]
t631,[8],-P [-f ../inputs/grep1.dat ../inputs/grep1.dat]
t641,[8],-P [- -- 12345 ../inputs/grep1.dat]
t645,[8],-P [-ff]
t646,[8],-P [-f]
t651,[2],"-P [""1\?\+"" ../inputs/grep1.dat]"
t652,[2],"-P [""1\+\?"" ../inputs/grep1.dat]"
t653,[8],"-P [""["" ../inputs/grep1.dat]"
t654,[8],"-P [""a["" ../inputs/grep1.dat]"
t655,[8],"-P [""a*["" ../inputs/grep1.dat]"
t656,[8],"-P [""[a"" ../inputs/grep1.dat]"
t657,[8],"-P [""[1"" ../inputs/grep1.dat]"
t658,[8],"-P [""[1-9"" ../inputs/grep1.dat]"
t660,[2],"-P [""[a-\]"" ../inputs/grep1.dat]"
t661,[2],"-P [""[1a-\]"" ../inputs/grep1.dat]"
t662,[8],"-P [""[[:alpha:\]-5\]"" ../inputs/grep1.dat]"
t663,[8],"-P [""[z[:digit:\]-f\]"" ../inputs/grep1.dat]"
t664,[8],"-P [""[[:alnum:\]-9\]"" ../inputs/grep1.dat]"
t666,[10],"-P [""[a-c-z\]"" ../inputs/grep1.dat]"
t667,[11],"-P [""[1A-Z-A\]"" ../inputs/grep1.dat]"
t668,[8],"-P [""[[:digit:\]-1-9\]"" ../inputs/grep1.dat]"
t669,[8],"-P [""[[:digit:\]-A-Z\]"" ../inputs/grep1.dat]"
t670,[8],"-P [""[[:digit:\]-a-z\]"" ../inputs/grep1.dat]"
t671,[8],"-P [""[1-2-"" ../inputs/grep1.dat]"
t672,[8],"-P [""[1A-Z-"" ../inputs/grep1.dat]"
t673,[8],"-P [""[Aa-z-"" ../inputs/grep1.dat]"
t674,[8],"-P [""[1-"" ../inputs/grep1.dat]"
t675,[8],"-P [""[1A-"" ../inputs/grep1.dat]"
t676,[8],"-P [""[Aa-"" ../inputs/grep1.dat]"
t677,[8],"-P [""[[:"" ../inputs/grep1.dat]"
t678,[8],"-P [""a[[:"" ../inputs/grep1.dat]"
t679,[8],"-P [""1-9[[:"" ../inputs/grep1.dat]"
t680,[8],"-P [""[[:a:\]\]"" ../inputs/grep1.dat]"
t681,[8],"-P [""[[:1:\]\]"" ../inputs/grep1.dat]"
t682,[8],"-P [""[[:abcdefg:\]\]"" ../inputs/grep1.dat]"
t683,[8],"-P [""[[:alpha:\]"" ../inputs/grep1.dat]"
t684,[8],"-P [""[a[:digit:\]"" ../inputs/grep1.dat]"
t685,[8],"-P [""[[:alnum:\]"" ../inputs/grep1.dat]"
t686,[8],-P ['\' ../inputs/grep1.dat]
t687,[8],-P ['if\' ../inputs/grep1.dat]
t688,[8],-P ['else\' ../inputs/grep1.dat]
t689,[12],-P ['\`' ../inputs/grep1.dat]
t692,[13],"-P [""\'"" ../inputs/grep1.dat]"
t693,[14],"-P [""if\'"" ../inputs/grep1.dat]"
t695,[8],"-P [""\1"" ../inputs/grep1.dat]"
t696,[8],"-P [""\2"" ../inputs/grep1.dat]"
t697,[8],"-P [""\3"" ../inputs/grep1.dat]"
t698,[8],"-P [""\4"" ../inputs/grep1.dat]"
t699,[8],"-P [""\5"" ../inputs/grep1.dat]"
t700,[8],"-P [""\6"" ../inputs/grep1.dat]"
t701,[8],"-P [""\7"" ../inputs/grep1.dat]"
t702,[8],"-P [""\8"" ../inputs/grep1.dat]"
t703,[8],"-P [""\9"" ../inputs/grep1.dat]"
t704,[8],"-P [""\)"" ../inputs/grep1.dat]"
t705,[8],"-P [""if\)"" ../inputs/grep1.dat]"
t706,[8],"-P [""[a-z\]\)"" ../inputs/grep1.dat]"
t707,[15],"-P [""\{"" ../inputs/grep1.dat]"
t708,[8],"-P [""a\{"" ../inputs/grep1.dat]"
t709,[8],"-P [""[1-9\]\{"" ../inputs/grep1.dat]"
t710,[8],"-P [""\{2,1}"" ../inputs/grep1.dat]"
t711,[8],"-P [""a\{2,1}"" ../inputs/grep1.dat]"
t712,[8],"-P [""\{1"" ../inputs/grep1.dat]"
t713,[8],"-P [""\{1,2"" ../inputs/grep1.dat]"
t714,[8],"-P [""a\{1"" ../inputs/grep1.dat]"
t715,[8],"-P [""\{1\{"" ../inputs/grep1.dat]"
t716,[8],"-P [""\{1,2\{"" ../inputs/grep1.dat]"
t717,[8],"-P [""[a-z\]\{1,2\{"" ../inputs/grep1.dat]"
t718,[2],"-P [""a\{1,2\}"" ../inputs/grep1.dat]"
t721,[2],"-P [""A\{0\}"" ../inputs/grep1.dat]"
t722,[2],"-P [""1\{0\}"" ../inputs/grep1.dat]"
t723,[2],"-P [""[a-z\]\{0\}"" ../inputs/grep1.dat]"
t724,[8],"-P [""\("" ../inputs/grep1.dat]"
t725,[8],"-P [""a\("" ../inputs/grep1.dat]"
t726,[8],"-P [""a\(a"" ../inputs/grep1.dat]"
t727,[2],"-P [""\|\(a\|b\)1*2\?3\+"" ../inputs/grep1.dat]"
t728,[2],"-P [""\|\(if\|else\)1*2\?3\+"" ../inputs/grep1.dat]"
t729,[2],"-P [""\|\(for\|12345\)a*b\?c\+"" ../inputs/grep1.dat]"
t730,[8],"-P [""a"" ../inputs/biginput.dat]"
t731,[8],"-P [""[a-z\]"" ../inputs/biginput.dat]"
t732,[8],"-P [""5\|7"" ../inputs/biginput.dat]"
t733,[2],-P [-5 if ../inputs/grep1.dat]
t736,[2],"-P [""[[:alnum:\]\]"" ../inputs/grep1.dat]"
t738,[2],"-P [""a*[[:alnum:\]\]"" ../inputs/grep1.dat]"
t739,[8],-P [-f ../inputs/biginput.dat ../inputs/grep1.dat]
t740,[8],-P [-f ../inputs/biginput2.dat ../inputs/grep1.dat]
t741,[8],-P [-f ../inputs/input_enter1 ../inputs/grep1.dat]
t742,[8],-P [-f ../inputs/input_enter2 ../inputs/grep1.dat]
t743,[8],-P [-f ../inputs/input_enter3 ../inputs/grep1.dat]
t744,[8],"-P [""\\"" ../inputs/grep1.dat]"
t745,[8],"-P [""1\\"" ../inputs/grep1.dat]"
t746,[8],"-P [""a\\"" ../inputs/grep1.dat]"
t750,[2],"-P [""1\|^"" ../inputs/grep1.dat]"
t751,[2],"-P [""a\|^"" ../inputs/grep1.dat]"
t756,[2],-P ['$' ../inputs/grep1.dat]
t767,[16],"-P [""[A-B\]"" ../inputs/grep1.dat]"
t773,[2],"-P [""if\+"" ../inputs/grep1.dat]"
t789,[17],"-P [-i ""[A-z1\]"" ../inputs/grep1.dat]"
t790,[18],"-P [-i ""[C-x2\]"" ../inputs/grep1.dat]"
t794,[2],-P [-X grep if ../inputs/grep1.dat]
t796,[2],-P [-e a -e b ../inputs/grep1.dat]
t797,[2],-P [-e if -e else ../inputs/grep1.dat]
t798,[8],-P [-e 12345 -e abcde -f ../inputs/input_1.dat ../inputs/grep1.dat]
t799,[8],-P [-e if -e else -f ../inputs/input_1.dat ../inputs/grep1.dat]
t800,[8],-P [-e 1 -e 2 -e 3 -e 4 -e 5 -e 12345 -f ../inputs/input_1.dat ../inputs/grep1.dat]
t801,[8],-P [-f ../inputs/input_2.dat ../inputs/grep1.dat]
t802,[8],-P [-i -f ../inputs/input_2.dat ../inputs/grep1.dat]
t803,[8],-P [-v -f ../inputs/input_2.dat ../inputs/grep1.dat]
t804,[2],"-P [""\(\b\)*"" ../inputs/grep1.dat]"
t805,[2],"-P [""if\(\b\)*"" ../inputs/grep1.dat]"
t1,[],-P[-n I ../inputs/grep1.dat]
t2,[],-P[-n 1 ../inputs/grep1.dat]
t3,[],-P[-E '\?' ../inputs/grep1.dat]
t4,[],-P[-G '\?' ../inputs/grep1.dat]
t5,[],-P[-G '?' ../inputs/grep1.dat]
t6,[],-P[-F '?' ../inputs/grep1.dat]
t7,[],-P[-F '/*#include' ../inputs/grep1.dat]
t8,[],-P[-G '[1-5\]' ../inputs/grep1.dat]
t9,[],-P[-E -c '[^a-z\]' ../inputs/grep1.dat]
t10,[],-P[-G '[X^YZ\]' ../inputs/grep1.dat]
t11,[],-P[-E '[1-\]' ../inputs/grep1.dat]
t14,[],"-P[-E ""[[:cntrl:\]\]"" ../inputs/grep1.dat]"
t15,[],"-P[-E ""[[:digit:\]\]"" ../inputs/grep1.dat]"
t19,[],-P[-G '[[:punct:\]\]' ../inputs/grep1.dat]
t21,[],-P[-G '[[:upper:\]\]' ../inputs/grep1.dat]
t24,[],-P[-E 'b$' ../inputs/grep1.dat]
t25,[],-P[-E 'b\>' ../inputs/grep1.dat]
t26,[],-P[-E 'b\B' ../inputs/grep1.dat]
t28,[],"-P[-E 'a{2,}' ../inputs/grep1.dat]"
t31,[],-P[-E 'dfaanalyze|ab''[lo\]' ../inputs/grep*.dat]
t33,[],-P[-E '[ab\]''le' ../inputs/grep*.dat]
t34,[],-P[-E '[12\]' ../inputs/grep*.dat]
t37,[],-P[-E '[^[:alnum:\]\]''include' ../inputs/grep*.dat]
t39,[],-P[-E 'In.lude|\?''?%' ../inputs/grep*.dat]
t40,[],-P[-E 'in.lude|\??''%' ../inputs/grep*.dat]
t41,[],-P[-E 'In.lude|\?(?''%)' ../inputs/grep*.dat]
t42,[],-P[-Ec 'In.lude|\??' ../inputs/grep*.dat]
t43,[],-P[-E '\?''?.:' ../inputs/grep*.dat]
t44,[],-P[-E '\*(?''p.)' ../inputs/grep*.dat]
t45,[],-P[-E '\*?p.eg' ../inputs/grep*.dat]
t46,[],-P[-E 'Include|n''?.lud' ../inputs/grep*.dat]
t47,[],-P[-E 'main|n?''.lud' ../inputs/grep*.dat]
t48,[],-P[-E 'Include|n(?''.lud)' ../inputs/grep*.dat]
t49,[],-P[-E 'Include|n?.lude' ../inputs/grep*.dat]
t50,[],-P[-E 'n''?.lude' ../inputs/grep*.dat]
t51,[],-P[-E 'n(?''.lud)' ../inputs/grep*.dat]
t52,[],-P[-E 'n?.lud' ../inputs/grep*.dat]
t53,[],-P[-E 'In.lude|\?''+%' ../inputs/grep*.dat]
t54,[],-P[-E 'in.lude|\?+''%' ../inputs/grep*.dat]
t55,[],-P[-E 'In.lude|\?(+''%)' ../inputs/grep*.dat]
t56,[],-P[-Ec 'In.lude|\?+' ../inputs/grep*.dat]
t57,[],-P[-E '\?''+.:' ../inputs/grep*.dat]
t58,[],-P[-E '\*(+''p.)' ../inputs/grep*.dat]
t59,[],-P[-E '\*+p.eg' ../inputs/grep*.dat]
t60,[],-P[-E 'Include|n''+.lud' ../inputs/grep*.dat]
t61,[],-P[-E 'Include|n+''.lud' ../inputs/grep*.dat]
t62,[],-P[-E 'Include|n(+''.lud)' ../inputs/grep*.dat]
t63,[],-P[-E 'Include|n+.lude' ../inputs/grep*.dat]
t64,[],-P[-E 'n''+.lude' ../inputs/grep*.dat]
t65,[],-P[-E 'n(+''.lud)' ../inputs/grep*.dat]
t66,[],-P[-E 'n+.lud' ../inputs/grep*.dat]
t67,[],-P[-E 'In.lude|\?''{1}%' ../inputs/grep*.dat]
t68,[],-P[-E 'in.lude|\?''{1}%' ../inputs/grep*.dat]
t69,[],-P[-E 'In.lude|\?({1}''%)' ../inputs/grep*.dat]
t70,[],-P[-Ec 'In.lude|\?{1}' ../inputs/grep*.dat]
t71,[],-P[-E '\?''{1}.:' ../inputs/grep*.dat]
t72,[],-P[-E '\*({1}''p.)' ../inputs/grep*.dat]
t73,[],-P[-E '\*{1}p.eg' ../inputs/grep*.dat]
t74,[],-P[-E 'Include|n''{1}.lud' ../inputs/grep*.dat]
t75,[],-P[-E 'Include|n{1}''.lud' ../inputs/grep*.dat]
t76,[],-P[-E 'Include|n({1}''.lud)' ../inputs/grep*.dat]
t77,[],-P[-E 'Include|n{1}.lude' ../inputs/grep*.dat]
t78,[],-P[-E 'n''{1}.lude' ../inputs/grep*.dat]
t79,[],-P[-E 'n({1}''.lud)' ../inputs/grep*.dat]
t80,[],-P[-E 'n{1}.lud' ../inputs/grep*.dat]
t81,[],-P[-E 'In.lude|\?''%' ../inputs/grep*.dat]
t82,[],-P[-Ec 'In.lude|\?' ../inputs/grep*.dat]
t83,[],-P[-E '\*\*''p.' ../inputs/grep*.dat]
t84,[],-P[-E '\*p.eg' ../inputs/grep*.dat]
t85,[],-P[-E 'Include|\?''?%' ../inputs/grep*.dat]
t86,[],-P[-E 'include|\?''?%' ../inputs/grep*.dat]
t87,[],-P[-E 'Include|\?(?''%)' ../inputs/grep*.dat]
t88,[],-P[-Ec 'Include|\??' ../inputs/grep*.dat]
t89,[],-P[-E '\?''? :' ../inputs/grep*.dat]
t90,[],-P[-E '\*(?''p)' ../inputs/grep*.dat]
t91,[],-P[-E '\*?preg' ../inputs/grep*.dat]
t92,[],-P[-E 'Include|n''?clud' ../inputs/grep*.dat]
t93,[],-P[-E 'main|in?''clude' ../inputs/grep*.dat]
t94,[],-P[-E 'Include|n(?''clud)' ../inputs/grep*.dat]
t95,[],-P[-E 'main|n?clude' ../inputs/grep*.dat]
t96,[],-P[-E 'n''?clude' ../inputs/grep*.dat]
t97,[],-P[-E 'n(?''clud)' ../inputs/grep*.dat]
t98,[],-P[-E 'n?clud' ../inputs/grep*.dat]
t99,[],-P[-E 'Include|\?''+%' ../inputs/grep*.dat]
t100,[],-P[-E 'include|\?''+%' ../inputs/grep*.dat]
t101,[],-P[-E 'Include|\?(+''%)' ../inputs/grep*.dat]
t102,[],-P[-Ec 'Include|\?+' ../inputs/grep*.dat]
t103,[],-P[-E '\?''+ 0' ../inputs/grep*.dat]
t104,[],-P[-E '\*(+''pattern)' ../inputs/grep*.dat]
t105,[],-P[-E '\*+preg' ../inputs/grep*.dat]
t106,[],-P[-E 'main|n''+clud' ../inputs/grep*.dat]
t107,[],-P[-E 'Include|n+''clud' ../inputs/grep*.dat]
t108,[],-P[-E 'Include|n(+''clud)' ../inputs/grep*.dat]
t109,[],-P[-E 'Include|n+clude' ../inputs/grep*.dat]
t110,[],-P[-E 'n''+clude' ../inputs/grep*.dat]
t111,[],-P[-E 'n(+''clud)' ../inputs/grep*.dat]
t112,[],-P[-E 'n+clud' ../inputs/grep*.dat]
t113,[],-P[-E 'Include|\?''{1}%' ../inputs/grep*.dat]
t114,[],-P[-E 'include|\?{1}''%' ../inputs/grep*.dat]
t115,[],-P[-E 'Include|\?({1}''%)' ../inputs/grep*.dat]
t116,[],-P[-Ec 'Include|\?{1}' ../inputs/grep*.dat]
t117,[],-P[-E '\?''{1} 0' ../inputs/grep*.dat]
t118,[],-P[-E '\*({1}''pr)' ../inputs/grep*.dat]
t119,[],-P[-E '\*{1}preg' ../inputs/grep*.dat]
t120,[],-P[-E 'Include|n''{1}clud' ../inputs/grep*.dat]
t121,[],-P[-E 'main|n{1}''clud' ../inputs/grep*.dat]
t122,[],-P[-E 'Include|n({1}''clud)' ../inputs/grep*.dat]
t123,[],-P[-E 'Include|n{1}clude' ../inputs/grep*.dat]
t124,[],-P[-E 'n''{1}clude' ../inputs/grep*.dat]
t125,[],-P[-E 'n({1}''clud)' ../inputs/grep*.dat]
t126,[],-P[-E 'n{1}clud' ../inputs/grep*.dat]
t127,[],-P[-E 'Include|\?''%' ../inputs/grep*.dat]
t128,[],-P[-Ec 'Include|\?' ../inputs/grep*.dat]
t129,[],-P[-E 'static'' int' ../inputs/grep*.dat]
t130,[],-P[-E '\*preg' ../inputs/grep*.dat]
t131,[],"-P[-E ""[\]X\]|end"""" -"" ../inputs/grep*.dat]"
t132,[],"-P[-E ""[\]X\]|end"" ../inputs/grep*.dat]"
t133,[],"-P[-E ""[\]X\]"""" -"" ../inputs/grep*.dat]"
t134,[],"-P[-E ""[\]X\]"" ../inputs/grep*.dat]"
t135,[],"-P[-E ""^if \(?g|if \(""""?out"" ../inputs/grep*.dat]"
t136,[],"-P[-E ""^if \(?g|^if \(?""""out"" ../inputs/grep*.dat]"
t137,[],"-P[-E ""^if \(?g|^if \((?""""out)"" ../inputs/grep*.dat]"
t138,[],"-P[-E ""^if \(?g|^if out"" ../inputs/grep*.dat]"
t139,[],"-P[-E ""^if \(""""?gout"" ../inputs/grep*.dat]"
t140,[],"-P[-E ""^if \((?""""gout)"" ../inputs/grep*.dat]"
t141,[],"-P[-E ""^if \(?gout"" ../inputs/grep*.dat]"
t142,[],"-P[-E ""^if a?g|if a""""?out"" ../inputs/grep*.dat]"
t143,[],"-P[-E ""^if a?g|^if a?""""out"" ../inputs/grep*.dat]"
t144,[],"-P[-E ""^if a?g|^if a(?""""out)"" ../inputs/grep*.dat]"
t145,[],"-P[-E ""^if a?g|^if out"" ../inputs/grep*.dat]"
t146,[],"-P[-E ""^if a""""?gout"" ../inputs/grep*.dat]"
t147,[],"-P[-E ""^if a(?""""gout)"" ../inputs/grep*.dat]"
t148,[],"-P[-E ""^if a?gout"" ../inputs/grep*.dat]"
t149,[],"-P[-E ""^if \(+g|if \(""""+out"" ../inputs/grep*.dat]"
t150,[],"-P[-E ""^if \(+g|^if \(+""""out"" ../inputs/grep*.dat]"
t151,[],"-P[-E ""^if \(+g|^if \((+""""out)"" ../inputs/grep*.dat]"
t152,[],"-P[-E ""^if \(+g|^if out"" ../inputs/grep*.dat]"
t153,[],"-P[-E ""^if \(""""+gout"" ../inputs/grep*.dat]"
t154,[],"-P[-E ""^if \((+""""gout)"" ../inputs/grep*.dat]"
t155,[],"-P[-E ""^if \(+gout"" ../inputs/grep*.dat]"
t156,[],"-P[-E ""^if a+g|if a""""+out"" ../inputs/grep*.dat]"
t157,[],"-P[-E ""^if a+g|^if a+""""out"" ../inputs/grep*.dat]"
t158,[],"-P[-E ""^if a+g|^if a(+""""out)"" ../inputs/grep*.dat]"
t159,[],"-P[-E ""^if a+g|^if out"" ../inputs/grep*.dat]"
t160,[],"-P[-E ""^if a""""+gout"" ../inputs/grep*.dat]"
t161,[],"-P[-E ""^if a(+""""gout)"" ../inputs/grep*.dat]"
t162,[],"-P[-E ""^if a+gout"" ../inputs/grep*.dat]"
t163,[],"-P[-E ""^if \({1}g|if \(""""{1}out"" ../inputs/grep*.dat]"
t164,[],"-P[-E ""^if \({1}g|^if \({1}""""out"" ../inputs/grep*.dat]"
t165,[],"-P[-E ""^if \({1}g|^if \(({1}""""out)"" ../inputs/grep*.dat]"
t166,[],"-P[-E ""^if \({1}g|^if out"" ../inputs/grep*.dat]"
t167,[],"-P[-E ""^if \(""""{1}gout"" ../inputs/grep*.dat]"
t168,[],"-P[-E ""^if \(({1}""""gout)"" ../inputs/grep*.dat]"
t169,[],"-P[-E ""^if \({1}gout"" ../inputs/grep*.dat]"
t170,[],"-P[-E ""^if a{1}g|if a""""{1}out"" ../inputs/grep*.dat]"
t171,[],"-P[-E ""^if a{1}g|^if a{1}""""out"" ../inputs/grep*.dat]"
t172,[],"-P[-E ""^if a{1}g|^if a({1}""""out)"" ../inputs/grep*.dat]"
t173,[],"-P[-E ""^if a{1}g|^if out"" ../inputs/grep*.dat]"
t174,[],"-P[-E ""^if a""""{1}gout"" ../inputs/grep*.dat]"
t175,[],"-P[-E ""^if a({1}""""gout)"" ../inputs/grep*.dat]"
t176,[],"-P[-E ""^if a{1}gout"" ../inputs/grep*.dat]"
t177,[],"-P[-E ""\<if \(?g|if \(""""?out"" ../inputs/grep*.dat]"
t178,[],"-P[-E ""\<if \(?g|\<if \(?""""out"" ../inputs/grep*.dat]"
t179,[],"-P[-E ""\<if \(?g|\<if \((?""""out)"" ../inputs/grep*.dat]"
t180,[],"-P[-E ""\<if \(?g|\<if out"" ../inputs/grep*.dat]"
t181,[],"-P[-E ""\<if \(""""?gout"" ../inputs/grep*.dat]"
t182,[],"-P[-E ""\<if \((?""""gout)"" ../inputs/grep*.dat]"
t183,[],"-P[-E ""\<if \(?gout"" ../inputs/grep*.dat]"
t184,[],"-P[-E ""\<if a?g|if a""""?out"" ../inputs/grep*.dat]"
t185,[],"-P[-E ""\<if a?g|\<if a?""""out"" ../inputs/grep*.dat]"
t186,[],"-P[-E ""\<if a?g|\<if a(?""""out)"" ../inputs/grep*.dat]"
t187,[],"-P[-E ""\<if a?g|\<if out"" ../inputs/grep*.dat]"
t188,[],"-P[-E ""\<if a""""?gout"" ../inputs/grep*.dat]"
t189,[],"-P[-E ""\<if a(?""""gout)"" ../inputs/grep*.dat]"
t190,[],"-P[-E ""\<if a?gout"" ../inputs/grep*.dat]"
t191,[],"-P[-E ""\<if \(+g|if \(""""+out"" ../inputs/grep*.dat]"
t192,[],"-P[-E ""\<if \(+g|\<if \(+""""out"" ../inputs/grep*.dat]"
t193,[],"-P[-E ""\<if \(+g|\<if \((+""""out)"" ../inputs/grep*.dat]"
t194,[],"-P[-E ""\<if \(+g|\<if out"" ../inputs/grep*.dat]"
t195,[],"-P[-E ""\<if \(""""+gout"" ../inputs/grep*.dat]"
t196,[],"-P[-E ""\<if \((+""""gout)"" ../inputs/grep*.dat]"
t197,[],"-P[-E ""\<if \(+gout"" ../inputs/grep*.dat]"
t198,[],"-P[-E ""\<if a+g|if a""""+out"" ../inputs/grep*.dat]"
t199,[],"-P[-E ""\<if a+g|\<if a+""""out"" ../inputs/grep*.dat]"
t200,[],"-P[-E ""\<if a+g|\<if a(+""""out)"" ../inputs/grep*.dat]"
t201,[],"-P[-E ""\<if a+g|\<if out"" ../inputs/grep*.dat]"
t202,[],"-P[-E ""\<if a""""+gout"" ../inputs/grep*.dat]"
t203,[],"-P[-E ""\<if a(+""""gout)"" ../inputs/grep*.dat]"
t204,[],"-P[-E ""\<if a+gout"" ../inputs/grep*.dat]"
t205,[],"-P[-E ""\<if \({1}g|if \(""""{1}out"" ../inputs/grep*.dat]"
t206,[],"-P[-E ""\<if \({1}g|\<if \({1}""""out"" ../inputs/grep*.dat]"
t207,[],"-P[-E ""\<if \({1}g|\<if \(({1}""""out)"" ../inputs/grep*.dat]"
t208,[],"-P[-E ""\<if \({1}g|\<if out"" ../inputs/grep*.dat]"
t209,[],"-P[-E ""\<if \(""""{1}gout"" ../inputs/grep*.dat]"
t210,[],"-P[-E ""\<if \(({1}""""gout)"" ../inputs/grep*.dat]"
t211,[],"-P[-E ""\<if \({1}gout"" ../inputs/grep*.dat]"
t212,[],"-P[-E ""\<if a{1}g|if a""""{1}out"" ../inputs/grep*.dat]"
t213,[],"-P[-E ""\<if a{1}g|\<if a{1}""""out"" ../inputs/grep*.dat]"
t214,[],"-P[-E ""\<if a{1}g|\<if a({1}""""out)"" ../inputs/grep*.dat]"
t215,[],"-P[-E ""\<if a{1}g|\<if out"" ../inputs/grep*.dat]"
t216,[],"-P[-E ""\<if a""""{1}gout"" ../inputs/grep*.dat]"
